address,snapshot1,snapshot2
0x01043ba0eb896290e8b4c145754db70372de2807,148930500000000000000,99864250000000000000
0x01050c6acc5d6f91fce09fb225e7b2f640314ab5,0,0
0x01081b1821383e48289828b8b1d03ee8e5b31e44,188984690674536948980,104991494819187193878
0x0111f8768b123eefe2b4d645af85e331da9c445c,0,4365000000000000000000
0x0117e91a70d7a2ca31e838069a585003798bcd7d,12880160796837342336,0
0x0118ff920b454eba1320d014f22c6d1b9f751a74,0,0
0x01190da45de5151e69d906be9cb2bde4d486caf8,718978202136401060000,1489311990139687910000
0x011ae0b0b6daef84492f9812399a9404068c6a14,77500000000000000000,57500000000000000000
0x012284b9dca8d887d5ca0f746100a960ab0803b9,1956846047662273017,0
0x01252bdb4927bfeed7e4c87a4a33d4da8d3d5aa5,2918252029659969314313,3016640502826704321324
0x012e6e7e65660e0f963f63e9bdccb63ec8dac651,0,0
0x0133654284d23f3920b67455f3d43df70f4a8b6d,7210623178541623469,19256804286731750678
0x013a0498ef48ce12594fb41a91528025c0fb0833,129000000000000000,86500000000000000
0x0141a5dc93a47ce9ba135bf1eb12c058d7c1ab4b,0,0
0x01485557c2bc6e26c7187ff4cc38d5d9474405d4,85864597412787045000,66783575765501035000
0x0148715bf8f3dd3fb39c742efbdc564a5693a884,28035446170008432520,0
0x0149f4ffb5d9628fdc269b835f3ba6428770226e,8029348219683453000,0
0x014ba432fd9da396be6751161ac18fbef307a3d5,0,0
0x014c140eb327b71e9eb273a42f0ae20ae313ca83,2386762278164667942,2435441886565969319
0x015126d4f67beabaad75ff059635f009189383ac,1632000000000000000000,888000000000000000000
0x0155505b315c79cb1e7988cfab9ab17057621a27,0,0
0x0156c17fe07392d81b870805a6a061c751c90f34,4675736838589847100,4628025238196073150
0x01596ee01164fc4772b652d2714022f91a5d3013,0,0
0x01699400b375a6e77f11e9d0f6a96e7245ff87e7,53599500000000000000,35940750000000000000
0x016feeca99cea3019dd6e2796c6df786f887b8ca,755407723911257120046,0
0x017345ccfa0b26c268efb25fa8d4ce46661154ed,0,0
0x01740c9fcff3607531b363dc940378d2a9fe837d,2497642769104355000000,1074004781429745300000
0x017f62ec1b5c2153dd8ab57b88c77ee719f324f0,98452800000000000000,66016800000000000000
0x018f9e9e09d8a3e817128882eaaf9a0d3bb24054,86893542710349895400,155922910238529234600
0x0196ad265c56f2b18b708c75ce9358a0b6df64cf,30800000000000000000,25900000000000000000
0x01a06b5a3c2f556be150ddfbf0d3dd30d06952f7,109617502054231720000,0
0x01ab06f4eb304a6f804e26cbe5f16d23d06b68a5,610401088742810000000,524944936318816600000
0x01b5fcefa2fd6ba0b569781b3dc3b2989d5249fc,7855024093267229390,5215017875649879870
0x01bda5be71cd8797ae60de3b7792f5ee1a7770f9,115017959699213518852,607107884320195086744
0x01c0fef3e116663f0538c614d2207ba7dda7949d,0,0
0x01c116715455aaae57304c8c510a4277cb14f9b6,777753217740458935,625996492327686460
0x01c65748f6e291b2d05df8fff86ff5221bfb57d5,0,712388370030978537950
0x01d0a2fd49ff9024eb04ef5f6f95f88ad3eba880,124459200000000000000,608034261623835715659
0x01d80bdd0c83c99465698e77e829c015950b220f,2039734647987339893401,7175756261337490814283
0x01db803b2f9653fbc3ba558342999fe5aa76eb10,13526100000000000000000000,12455100000000000000000000
0x01ded24346ed09cb7f672a6a9b88addb1fd39a39,356774485986702591229,353133930007246442339
0x01e6694700fcea08883a6378d4ad82441bfe4217,3700000000000000000,2900000000000000000
0x01ebe736c12fe6915c615c159c801433b98273be,10674598707326587030,5930332615181437239
0x0204c528add1c492b3915eadeef315a654d8190d,0,0
0x0206539c19b2791dfa12ef09a64f37bf81c7bdbc,0,0
0x02145c044f5880f9479240f413de7129b58e3e09,0,96226753555775234000
0x0218d4af7f148ed90f79d3ff15a1c69af4d73853,5440000000000000000000,2960000000000000000000
0x02199051466920db72f9f750b4952f877176b1a3,0,0
0x021e411e078aef208cf457383ddbd94503eb4d6f,5440000000000000000000,2960000000000000000000
0x02288bdf8958b78006d06b1311b6893932f49fbb,104575376459563606,76988007209494677
0x0236d855e7c729fb54d721eaebb5ef2a40f439a0,0,0
0x02482219a0d939dd6e224dcfa0cd7dc45c1296e3,550200000000000000000,1218300000000000000000
0x024b4ea35d3c79c8adeea960146d4cd3536261cb,0,0
0x024bbf657aabb7e80f920a81d46260732e8c2167,3450459000000000000000,2994738000000000000000
0x025172085aecf0ce21195c59632d787c5c8c26a9,709500000000000000,475750000000000000
0x025a02c2fd491bb909e74b0d81d4b77f23cd62dc,464400000000000000,311400000000000000
0x025a0ba80b9adc64b9847ae768f228614e819982,0,0
0x025c22f47e0367bb04555cf0f3acc79347b02c09,34780000000000000000,0
0x025d776844ac13f1e9b3d454f55137a233b8a3b2,0,401770494892468189756
0x02699a4cbbea963d20baf49fbb9f5204198ae2ff,0,0
0x026fc425d692c52c43d69aea0fec9b927a606a37,142531223867350213059,65418072424344219782
0x0272ac9ee528153f0a4540f4a11ab83f95cde5f8,0,0
0x02739461aa70a0cac6e3c0537b8a8b866263325e,321519600000000000000,562212924160750817858
0x0274c89ea0e3388a692366c48763245c5433a888,23051707824644559602,32675626930399467076
0x027feb409ef3fc247032c25c0d4b4d43a7a6e5e0,6920000000000000000000,4120000000000000000000
0x0283308db769c4510a61f70d2d3790794ca0b50a,7353000000000000000,4930500000000000000
0x028bc492f04afbde92f7b8215768a0aeead4c5ce,0,0
0x028c2875d7a41a17981da23a8ae1cb805304fcc4,180000000000000000000,100000000000000000000
0x028c2b533b3c77dc4d1d947d864fd68c4bbec197,4386000000000000000,2941000000000000000
0x0290a8a76d70040ad90b31c0751e31eb23745558,0,0
0x0295a1f13d2bd7b20b35877cab187d15c1e231a8,5453110533304715946,3319284672446348837
0x029a62aa7225fdf44b502a0f3dcfd28b580b5d50,0,781000000000000000000
0x029df3c597ba71cc41a3fb6220405ca5b3bea3fd,3630936669330326922964,3164397472527173076810
0x02a266bcde962f6ed93fc0c8e70afa65a6b07627,0,0
0x02ac35778918809fde7e19980629372a6ae7389a,12600035464546449943,16200045597274007070
0x02b1040cd6746328ba5bc9f81fa7690522cc6df0,816624250205423137000,3382362433510737750507
0x02b2117a836ab14e547e3e7110395be506422671,100620000000000000000,81900000000000000000
0x02b4c44a97dbd61a16fa7a5a1b4924a4bdff0d78,1027115858668857700000,0
0x02b515e9ab2c8ad96fbceaabc46ec0e8df60acb7,0,0
0x02b6bd2420ccadc38726bd34bb7f5c52b3f4f3ff,0,0
0x02c49346d26654c8b9d383eeadf17ac6c6af88ea,16386395937674165881,11459767093667553911
0x02cc2508ea74e19caf469d0eb7e3a97f2b4bf902,223600265967955299017,127771580553117313724
0x02d17e73726b03edbdf4d519e361b562b243bc61,0,0
0x02d1ec5bf3504fe37fa35aab0899a0e25178eb85,444965144559007637801,305412455671985733617
0x02d858a74f34be76e9a3f7597b4160c14aa035c2,0,0
0x02e1d33dd280e25841372ecb1e674ea211daf86f,0,0
0x02e3f540be055029cd072a46899e61eb0d8566e8,1565515098603122500000,1346342984798685350000
0x02e413fb473df2516447f47a496f72cf7e2a2cc5,0,0
0x02e820ec942d319898494a9a260b3b409e67d098,94586164157928100441,659624467165146620026
0x02e96cfd2daf1ea22c86c6686fba28103628f045,628122440479156170532,618508321492230310663
0x02f1828f21b7ec274dd9e5bc1b83354d5225bef6,164878827621934185556,0
0x02f30d71374c8da1e65cd727b5201ec31b1a1a90,50750367542003730659,117671712284990165952
0x02f6b1fdca6ce98fbc0f76f2b264d9c0518d99a9,276206411117461083000,157832234924263476000
0x02fec1e5e224da14dfe29237042d56a96523949e,132300000000000000000,132300000000000000000
0x030ab13190dd6e609a1b190d557e69ee6c4e51c6,66796200000000000000,44789700000000000000
0x030dbd0a50b5567cc6d0ab5e50b8e4d4285d3886,5440000000000000000000,2960000000000000000000
0x031010be201eca7cb5c4a6726b8a6a2d1895b26f,821508463434675408000,1283606974116680325000
0x0321aa423f8a97f3929a65aafbaa4878a4760312,40329053719965403153,88461455267315551549
