address,snapshot1,snapshot2
0x026Fc425d692C52C43D69Aea0feC9B927a606a37,142531223867350213059,65418072424344219782
0x0274c89Ea0e3388a692366c48763245C5433A888,23051707824644559602,32675626930399467076
0x028C2875D7A41A17981DA23a8ae1Cb805304fcc4,180000000000000000000,100000000000000000000
0x0295a1f13D2bD7b20b35877CAb187d15C1e231a8,5453110533304715946,3319284672446348837
0x029A62aA7225fDf44B502A0f3dcFd28b580b5D50,0,781000000000000000000
0x02ac35778918809fdE7E19980629372A6Ae7389A,12600035464546449943,16200045597274007070
0x02b1040cD6746328BA5bc9F81FA7690522cc6df0,816624250205423137000,3382362433510737750507
0x02B2117A836aB14e547E3E7110395bE506422671,100620000000000000000,81900000000000000000
0x02B4c44a97DBD61a16fA7A5a1B4924A4BdFF0D78,1027115858668857700000,0
0x02CC2508Ea74e19CAf469d0eb7E3A97f2b4bF902,223600265967955299017,127771580553117313724
0x02E3f540bE055029cD072a46899e61eB0D8566E8,1565515098603122500000,1346342984798685350000
0x02e96cfd2daF1EA22C86C6686FbA28103628f045,628122440479156170532,618508321492230310663
0x02F1828f21B7Ec274DD9E5BC1b83354d5225beF6,164878827621934185556,0
0x02f6b1FdcA6ce98fBC0f76F2b264d9c0518d99a9,276206411117461083000,157832234924263476000
0x02fEC1e5e224Da14Dfe29237042D56a96523949E,132300000000000000000,132300000000000000000
0x031010BE201ecA7cB5c4a6726b8a6A2d1895b26F,821508463434675408000,1283606974116680325000
0x0321Aa423f8A97f3929A65aaFbAA4878a4760312,40329053719965403153,88461455267315551549
0x03286AF628fA73BACda875270a4251b24e24a467,1440000000000000000000,0
0x0339cef12a92eCFb9700d051400abFa6Ee585c97,0,107500000000000000000
0x036059DeDD4E37ED0B1e71e40A972C1EB9daB464,45045504965893364329,41238842574409418048
0x0361FeEd2783a0A953B1A9e94A53494Ed09B65ef,50284380320247157477,49771274398611982401
0x0378525aa9805D64561B56B4c040E7aF2675ddFf,10000000000000000000,0
0x03813CE38a3ED7785FA0920706cc010790C8a05f,0,2044000000000000000000
0x0385C6469BaBD8d910954aBfb95bb4f980730A32,183430000000000000000,181540000000000000000
