"id","staker","amount","total","block","locked_until","timestamp"
12730,"0x1f78119beF2B5eB117FD537ceE5c2A564B37695D",1336219426,1336219426,3274180,1632479295,1618670448
694441,"0x589079F57c6aD630bbcDbd93B9933FA0De2be34a",351500000,351500000,3451287,1700216895,1624219847
81186,"0x7213cEe753Eb2E5a80772E7fb598f90c38989A0a",22603980827,43897661538,3398265,1634898495,1622520715
21947,"0xA838387F798671889DfBbb3C7a72E8B39541fDdA",4091493361,4091493361,3331961,1628850495,1620441249
29649,"0xfd6921f6cE7Bcbf15BAf7d11df2925b45048e425",28121988053,28121988053,3347564,1636108095,1620923037
11859,"0x07aD2f67B2a40459dff941B5f4430b3c1981De97",220110815253,220110815253,3266669,1626431295,1618426276
76481,"0xDb9EeB01f9599B9aC830e2353a0d6B53B05A2B10",31800000000,31800000000,3376902,1627640895,1621858717
11020,"0xc6fd276ABc8677070c1Ee0b4d3f75a641348ae23",22435291700,22435291700,3248207,1703845695,1617823864
16104,"0x762022Af1310A1b51BEa80d0AF26428C3c9E9Dd4",1000000,1000000,3316527,1626431295,1619976699
610205,"0xE4222061f2FBD62684e414b433365C2e9124E88a",8098000000,8098000000,3420532,1691749695,1623222876
631611,"0x1EFB86e35fdAa66a847D0Bc5Ac6739dd0D5DF3c9",100085225,200085225,3433591,1633688895,1623646308
14409,"0x8615c1Dd12D9b24005BF2ef2a7E67B65B3C90998",1130920343,1130920343,3285275,1703845695,1619020406
78181,"0x50375458dAEb8ad0A3022FCC56F40c8Ea93D9117",4039689470,4039689470,3391280,1638527295,1622303479
15422,"0x5039B7c1B929cb5c9dA62C2b45574a47463e406a",1000000000,1000000000,3309177,1637317695,1619756444
16425,"0x23AF556DF9103A5e89d988536A5CC958059cC267",11115841175,11115841175,3320488,1705055295,1620093819
29751,"0x2746BF8DD83dbfAa7Ea89955b3749A62ec8b57B5",30000000000,30000000000,3350238,1648204095,1621010339
28737,"0xafB270ed1f14Fcece56d8A52b8FFD3079AaCc65D",18523724134,18523724134,3342445,1626431295,1620763623
683852,"0x7464020d5655C7614497410eF1438a527e8BD3D6",100000073,100000073,3438273,1630060095,1623799852
29572,"0x86110E90F700CCf00cA0F737F085fa42c5A4b45F",5398244096,5398244096,3345484,1626431295,1620858629
12658,"0xDd91B25B0103548b5655F5830d16D33f93e65A70",1000000000,1000000000,3271199,1680863295,1618575676
76395,"0x2B1b4AfC8ea54A0d7D587365373Cb9733D87aE0c",34100000000,34100000000,3374827,1627640895,1621793885
76280,"0x99f802dfBfC677A4A5818FB85318d4ADa399223a",4444336612,4444336612,3370568,1625221695,1621663132
13157,"0x47ecBBAa1D0a38BD6C25F79FC5d88D7758be234a",1280684378,1280684378,3284355,1703845695,1618991131
609477,"0xE74Acf3B57d092dB0E2f71F0435Bab6eD95c3A72",170785621,448180297,3418860,1706264895,1623170035
29834,"0xdF2a93dDf2C91F93f804fB5018547882e88476a1",700000000,700000000,3353149,1640946495,1621100208
76327,"0xA07840094cbc319fd44f648555101B5f3D725240",10000000000,10000000000,3372144,1628850495,1621710248
632209,"0x4f8EbB9A9e347054B22fD4E8D3b4F3092B9362E7",2700000000,2700000000,3434507,1707474495,1623676134
10699,"0xC5c6FCd2Fb507aB00C90C58a2094AF28cd7Af1e0",20115283483,20115283483,3244929,1705055295,1617716253
620065,"0x1EEe213155050E6efE37103a82f3C8263ACb1425",762396388,762396388,3426532,1632479295,1623420347
15139,"0xf095D087dF2c6694A557E0519526B3395C44058C",22869248151,22869248151,3300891,1637317695,1619499372
15993,"0x2577244a519eeC2c36903972E2755D16b69fAcD5",20000000000,20000000000,3314530,1627640895,1619916866
14856,"0x91806166CF0e1959c531e2F1Edd6b644b3671165",1580698594,1580698594,3292277,1637317695,1619234771
15818,"0x399191BC1bA7B831af44E64A263031406bCE9d1E",100000000,100000000,3312333,1642156095,1619852348
16617,"0xBf8e6FD743a2bF16667A5e4a7dFAe15BE71801B9",3500000000,3500000000,3323151,1627640895,1620172184
16420,"0x1261E919EB61A3Cf41B68B65192ba1A4491C53d7",161901846,161901846,3320462,1639736895,1620093076
682794,"0x2EFedAe21dfc516bF52f8d132E68D039f4894097",274245209,274245209,3436640,1627640895,1623746638
29630,"0x67D0C3526578CCDF1F0D1A454e297FaBC3156b31",7607907411,7607907411,3347167,1707474495,1620910732
605611,"0x2F9a7335434d605DF5401F141030722D815ae471",12776160749,12776160749,3407586,1630060095,1622817486
619287,"0xb37Af7f06EE0c9437Ce03230de1acDD8bFA1617b",4900000000,4900000000,3424170,1625221695,1623344227
12762,"0x3E8714617202aB0899395c453AeD5D50B5749e10",2686238620,2686238620,3275881,1625221695,1618724424
632138,"0x58f9338D03849A06B41D4A4982d498489C375207",4243000000,4243000000,3434480,1625221695,1623674971
620062,"0xFB616827B4c9900Af186AbE09cA325772bd006e2",1200000000,1200000000,3426479,1640946495,1623418666
16219,"0x6D71b16f93101B41222eF627c368eb215AA02A03",823006679,823006679,3318489,1626431295,1620035011
