"id","staker","amount","block","previous_date","new_date","timestamp"
6,"0x8378379ed73Bc1f5892F2E3787b634Cce31aF562",58005967543,3253328,1617964095,1640946495,1617990719
9186,"0xF922629BFCaA0C3593FA86CbC1F8815A8cbF0B30",40000000000,3535028,1624012095,1628850495,1626876748
8195,"0x319d116c3074aE7dA02Fa6ee50Ce453fe69d7B58",77033689400,3453399,1622802495,1626431295,1624289332
4777,"0xf6164703079311bC87177115FCeAc63Ac281C394",20000000000,3354372,1621592895,1625221695,1621138404
8043,"0x3c258c12e05b9d49b81D01cFdA68a36F9635f3F1",1400000000,3435352,1622802495,1627640895,1623705060
5772,"0x53d92b47B8e16966Aa65627D39C48bF717602391",33199822109,3373720,1621592895,1625221695,1621758006
322,"0x1F470895D81D6332cc0Ca6029191fa1302dA6B46",23501217,3285753,1621592895,1643365695,1619036152
9206,"0x962f5871E8f2F731c434f4C9EAAB7e9Ea25e8E30",24064087818,3537721,1624012095,1640946495,1626963467
5897,"0x0C4DfF600a3Ef5C11a3506642e62a7d480b60252",979180509,3379166,1620383295,1627640895,1621927205
5742,"0xd146651E4493fCd7846a11655bA0c5C7288e76c1",5000000000,3370408,1621592895,1625221695,1621658047
6627,"0xc0fC996423fa30e1ddB325dbaAFb356af2CAaeCe",15000000000,3426988,1624012095,1625221695,1623434603
5909,"0xef7692Ccd24B4fb91b1268D2D5f6410f9f8F914C",25000000000,3380158,1621592895,1625221695,1621956921
8172,"0x17FcBE99B848A261574f2125d73AE9ddc4c8bdC3",15128147836,3447959,1624012095,1627640895,1624111244
665,"0x6a21E5203d4230dbf161AF444285Cf36b85982Dc",312573524,3310941,1620383295,1626431295,1619809791
5613,"0xfE7f4747494ee2ADc7C23D58E1305344a26eF64F",8005067462,3366123,1621592895,1627640895,1621521354
6124,"0xb98f23ae41954EDcAb1BeeB4de3F3cf1049b63A2",14571821373,3394728,1620383295,1628850495,1622409361
8207,"0x061f6292A655c031c6D712BC5A02Ea446c85C369",27668460283,3456731,1621592895,1633688895,1624399452
8546,"0xE14cF639766bAb4d81e3426191bd1edFF5eED30e",72919525472,3489292,1622802495,1632479295,1625430448
3744,"0x25fa3Ac261101C6969F1a6b80219040628e2446f",8825898249,3345416,1622802495,1628850495,1620856419
1731,"0x8aa4785E233167e16F94676c38491B1391d40fa7",100000000000,3331951,1622802495,1634898495,1620440953
6436,"0x187e202e311Ab27175442be9aF0B953F23b9eDdA",99581450287,3415423,1624012095,1625221695,1623058396
5535,"0x2DaFfedDB402a9ab6009C7413abDCf8566f64bAc",26905792933,3363116,1621592895,1625221695,1621417450
8163,"0xC405B28AE784BF7e7D699c19e15E09DD8A831e68",102700000000,3445765,1624012095,1630060095,1624042801
413,"0x33E3C51F3fBf64606743c2049108E2A67EC1175a",969288062,3296509,1620383295,1626431295,1619364590
6772,"0x79482013723BB6b40F7B9D0B97B1988Db1F145B8",9995060439,3434644,1622802495,1625221695,1623680767
5938,"0x55A399670d100e3Acd3ab81610169a00b014Bb6a",116347048,3383459,1621592895,1625221695,1622060129
6769,"0x59ACdc8Afa316C45a42008f0f5E10d886c816C61",1000000000,3434489,1621592895,1625221695,1623675301
8043,"0x3c258c12e05b9d49b81D01cFdA68a36F9635f3F1",980000000,3435352,1622802495,1627640895,1623705060
3761,"0xdA8f46C5f3f37e2A71E359Db2383E72e72Fdd15f",1232548292,3346919,1624012095,1639736895,1620902776
5916,"0x485a2a216ffc1bc0bd8b75DcDDB3894c44Fa39E2",10215000000,3380882,1622802495,1705055295,1621980016
8787,"0x90f8e932E5AE5CB61BA2dAb801aC160d54F3Fe4B",102700000000,3499753,1622802495,1631269695,1625760420
8164,"0xfee6e9A1ac0571eD121189E593847982515f8B53",102500000000,3445769,1624012095,1632479295,1624042952
360,"0x0EC1B71F056De130613397AE6680617f1d252Ccd",6508506285,3290265,1620383295,1627640895,1619174195
5823,"0xdd3b4D307c0F689a91398A57E1aD0C54d5D8Afb5",863440449,3376765,1621592895,1632479295,1621854544
153,"0xB9393836755De736EcB99E503448BD6f2474330c",1232739730,3270397,1621592895,1630060095,1618548833
5700,"0x87a5C3Fa07b0046e4b0813D40d01e2f2C301D0B4",11514790322,3366792,1621592895,1648204095,1621542042
386,"0x286eA9a67d2Ab7480B653C48E306a6a36D915c70",6073748867,3291559,1621592895,1625221695,1619212971
610,"0x7B9fC64d45fae6176F2E3f30cA703DBf5362Bc56",30877597354,3300830,1621592895,1707474495,1619497524
369,"0xC5c6FCd2Fb507aB00C90C58a2094AF28cd7Af1e0",14500000000,3290601,1619173695,1637317695,1619184311
8322,"0x62436096690C62145516AB6f7CcC3B818003f301",3570000000,3461952,1621592895,1626431295,1624569583
412,"0xD16B020D1B8655232d15f13D9706F67AB5A91c89",20000000000,3296393,1619173695,1625221695,1619360963
2396,"0x5E1890579e500b89Ece8D60f1Ac2e0F54D7A3F88",500000000,3341437,1621592895,1625221695,1620732663
6251,"0x3cC75a5C018Df322f270b868460eE3bFf2118983",300000000,3400491,1624012095,1653042495,1622594106
